                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5345,                  2.048,                0.83952,                 1.0815,                0.78673,                0.78206,                0.84677,                 0.4693,                0.78416,                0.76394,                0.83137,                0.42052,                 1.5342,                 2.3198,                0.95262,                  1.192,              0.0019361,              0.0019361,              0.0019361
                     25,                 1.5174,                 2.0588,                0.83726,                 1.0741,                0.81655,                0.77834,                0.85694,                0.48073,                0.80996,                0.75367,                 0.8357,                0.41688,                 1.5203,                 2.2973,                0.98504,                 1.2003,              0.0019305,              0.0019305,              0.0019305
                     26,                 1.5016,                 2.0223,                0.81385,                 1.0631,                0.81602,                0.77288,                0.86363,                0.49241,                0.80867,                0.74916,                0.84406,                0.43939,                 1.5285,                 2.3049,                0.92417,                  1.214,              0.0019246,              0.0019246,              0.0019246
                     27,                 1.5238,                 2.0372,                0.84659,                 1.0886,                0.77994,                0.76468,                 0.8351,                0.44934,                0.76866,                0.74547,                0.81269,                0.38035,                 1.5832,                 2.2877,                0.99889,                  1.217,              0.0019186,              0.0019186,              0.0019186
                     28,                 1.4902,                 2.0286,                0.83238,                 1.0668,                0.80905,                0.77871,                0.85911,                0.48508,                0.79644,                0.75669,                0.83415,                0.41785,                   1.56,                 2.2793,                0.93116,                 1.2123,              0.0019123,              0.0019123,              0.0019123
                     29,                 1.5195,                 2.0329,                0.82878,                 1.0763,                 0.8126,                0.76641,                0.85476,                0.46881,                0.79599,                0.75928,                 0.8401,                0.41234,                 1.5669,                 2.3122,                 1.0143,                 1.2074,              0.0019058,              0.0019058,              0.0019058
                     30,                  1.501,                 1.9984,                0.81426,                  1.068,                0.81876,                0.77145,                0.86073,                0.49363,                0.81483,                0.76209,                0.85442,                 0.4474,                 1.4529,                 2.1973,                0.93923,                 1.1713,               0.001899,               0.001899,               0.001899
                     31,                 1.4891,                 1.9851,                0.81276,                 1.0561,                0.81367,                0.78156,                 0.8593,                0.49035,                0.80717,                0.75669,                0.83943,                0.42284,                 1.5166,                 2.3321,                0.90857,                 1.1858,              0.0018921,              0.0018921,              0.0018921
                     32,                 1.4812,                 1.9993,                0.80427,                  1.054,                0.82473,                0.77611,                0.86678,                 0.4889,                0.81716,                0.76899,                0.85616,                   0.44,                 1.5206,                 2.2614,                0.91925,                 1.1838,              0.0018849,              0.0018849,              0.0018849
                     33,                 1.4684,                 1.9631,                0.79531,                 1.0538,                0.82214,                0.78929,                0.86887,                0.49899,                0.81224,                0.77979,                0.85543,                0.44914,                 1.4583,                    2.3,                0.90535,                  1.172,              0.0018775,              0.0018775,              0.0018775
                     34,                 1.4946,                 1.9901,                0.80053,                 1.0673,                0.80237,                0.79404,                0.86394,                0.49764,                0.79977,                 0.7787,                0.85384,                 0.4469,                 1.4843,                 2.3195,                0.91502,                 1.1705,              0.0018699,              0.0018699,              0.0018699
                     35,                 1.4857,                 1.9929,                0.80413,                 1.0569,                0.82242,                0.79512,                0.86951,                0.50116,                0.81589,                0.78735,                0.85945,                0.44552,                 1.4691,                 2.2393,                0.93611,                  1.177,              0.0018621,              0.0018621,              0.0018621
                     36,                 1.4909,                 1.9952,                0.79737,                  1.057,                0.77514,                 0.8003,                0.86004,                0.49014,                0.77903,                0.77915,                0.84432,                0.42937,                 1.4745,                 2.1922,                 1.0165,                 1.1622,              0.0018541,              0.0018541,              0.0018541
                     37,                 1.4903,                 1.9839,                 0.8526,                 1.0693,                0.83661,                0.76835,                0.86615,                0.49539,                0.83144,                 0.7636,                0.86082,                0.46078,                 1.5024,                 2.2033,                 0.8963,                 1.1779,              0.0018459,              0.0018459,              0.0018459
                     38,                 1.4783,                 1.9772,                0.79874,                 1.0557,                0.82081,                0.78627,                0.86945,                0.50401,                0.81029,                0.77936,                0.85944,                0.45024,                 1.5212,                  2.303,                0.92495,                 1.1925,              0.0018374,              0.0018374,              0.0018374
                     39,                 1.4869,                 1.9746,                0.79253,                 1.0583,                0.81941,                0.78994,                0.86613,                0.49514,                0.81782,                0.76792,                0.85017,                0.43579,                  1.536,                 2.2255,                0.96727,                 1.1789,              0.0018288,              0.0018288,              0.0018288
                     40,                 1.4584,                 1.9509,                0.77491,                 1.0512,                0.79046,                 0.7595,                0.83989,                0.47903,                0.78591,                0.74719,                0.82544,                0.42364,                 1.4971,                 2.2108,                0.96302,                 1.1845,                0.00182,                0.00182,                0.00182
                     41,                 1.5045,                 1.9943,                0.80163,                 1.0603,                0.81437,                 0.7842,                0.86173,                  0.488,                0.80748,                0.76943,                0.84619,                0.43598,                 1.5429,                 2.3028,                0.89645,                 1.2128,              0.0018109,              0.0018109,              0.0018109
                     42,                 1.4894,                 1.9952,                0.80376,                 1.0624,                0.82034,                  0.788,                0.86865,                0.50288,                 0.8073,                0.77547,                0.85445,                0.44593,                 1.4556,                 2.1746,                0.89327,                 1.1512,              0.0018017,              0.0018017,              0.0018017
                     43,                 1.4594,                 1.9238,                 0.7638,                 1.0467,                0.82036,                0.79231,                0.86806,                 0.4925,                0.81262,                0.76749,                0.84557,                0.41887,                 1.4774,                 2.1392,                0.88208,                  1.156,              0.0017923,              0.0017923,              0.0017923
                     44,                 1.4756,                 1.9316,                0.78174,                 1.0402,                0.82924,                0.80096,                 0.8768,                0.50025,                0.81939,                0.77671,                0.85534,                0.44148,                  1.474,                 2.1561,                0.86796,                 1.1711,              0.0017826,              0.0017826,              0.0017826
                     45,                 1.4612,                 1.9466,                 0.7686,                 1.0605,                0.82262,                0.80398,                0.87774,                0.50165,                 0.8146,                0.78325,                0.85799,                0.43783,                 1.4471,                 2.0863,                0.86282,                 1.1644,              0.0017728,              0.0017728,              0.0017728
                     46,                  1.471,                 1.9341,                0.76696,                 1.0494,                0.80861,                0.78531,                0.86367,                0.47638,                0.80054,                0.77289,                 0.8491,                0.42496,                 1.5669,                 2.1947,                0.92198,                 1.1818,              0.0017628,              0.0017628,              0.0017628
                     47,                 1.4443,                 1.9159,                0.75768,                 1.0341,                0.79574,                0.80405,                0.86704,                0.49713,                0.79566,                0.78431,                0.85343,                0.43521,                 1.4654,                 2.1676,                0.91221,                 1.1598,              0.0017526,              0.0017526,              0.0017526
                     48,                 1.4429,                 1.9071,                0.76636,                 1.0422,                0.81864,                0.79793,                0.87066,                0.50684,                0.81048,                0.78659,                0.85642,                0.45219,                 1.4373,                 2.1369,                0.86527,                 1.1479,              0.0017422,              0.0017422,              0.0017422
                     49,                 1.4758,                 1.9574,                0.77932,                 1.0506,                0.80554,                 0.8098,                0.87079,                0.49834,                0.79358,                0.80203,                 0.8613,                0.44484,                 1.4671,                 2.1695,                0.87295,                 1.1664,              0.0017317,              0.0017317,              0.0017317
                     50,                   1.46,                  1.922,                0.76614,                 1.0576,                0.79982,                0.80009,                0.85778,                0.48506,                0.79447,                0.78109,                0.84489,                 0.4368,                 1.5657,                 2.2276,                0.93108,                 1.2005,              0.0017209,              0.0017209,              0.0017209
                     51,                 1.4828,                 1.9699,                0.78526,                 1.0638,                0.79587,                0.80383,                0.86616,                0.50056,                0.78475,                 0.7926,                0.85269,                0.44698,                 1.4679,                 2.1757,                0.90648,                 1.1612,                0.00171,                0.00171,                0.00171
                     52,                 1.4662,                   1.95,                0.76913,                 1.0488,                0.82875,                0.80028,                0.87669,                0.51299,                0.82517,                0.78238,                0.86491,                0.46152,                 1.4747,                 2.1706,                0.88144,                 1.1688,               0.001699,               0.001699,               0.001699
